2026-03-11 20:12:42,205, DEBUG, 123, root
2026-03-11 20:12:42,205, INFO, Сообщение отправлено, root
2026-03-11 20:12:42,205, WARNING, Большая нагрузка!, root
2026-03-11 20:12:42,205, ERROR, Бот не смог отправить сообщение, root
2026-03-11 20:12:42,205, CRITICAL, Всё упало! Зовите админа!1!111, root
2026-03-11 20:14:54,386, INFO, Сообщение отправлено, __main__
2026-03-11 20:14:54,387, WARNING, Большая нагрузка!, __main__
2026-03-11 20:14:54,387, ERROR, Бот не смог отправить сообщение, __main__
2026-03-11 20:14:54,387, CRITICAL, Всё упало! Зовите админа!1!111, __main__
2026-03-11 20:18:22,590, INFO, Сообщение отправлено, __main__
2026-03-11 20:18:22,591, WARNING, Большая нагрузка!, __main__
2026-03-11 20:18:22,591, ERROR, Бот не смог отправить сообщение, __main__
2026-03-11 20:18:22,593, CRITICAL, Всё упало! Зовите админа!1!111, __main__
